,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Iron,Magnesium,Of which Polyunsaturated,Omega 3,Potassium,Zinc,Selenium,Vitamin E,Polyunsaturates,Sodium,Vitamin D,Vitamin C,Riboflavin,Vitamin B12,Cholesterol,Of which Trans
559,,,,,,,,,,Waitrose aluminium foil extra thick 300mm x 10m,,,,,,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,essential Waitrose Non PVC Cling Film,,,,,,,,,,,,,,,,,,,,,,,,
561,14.5g,418kcal,21g,31g,13.2g,0.3g,28.1g,Nil,,Food Thoughts Fairly Traded Organic Cacao Powder,,,,131mg,30mg,,,,2000mg,,,,,,,,,,,,,,,
562,,,,,,,,,,Essential Aluminium Foil 450mmx20m,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,BacoFoil small portion trays & lids,,,,,,,,,,,,,,,,,,,,,,,,
564,12.4g,386kcal,21g,31g,13.2g,0.3g,22.3g,Nil,,Food Thoughts Fairly Traded Organic Cocoa Powder,,,,,,,,,,,,,,,,,,,,,,,,
565,,,,,,,,,,Waitrose Non Stick Aluminium Foil 10m,,,,,,,,,,,,,,,,,,,,,,,,
566,,,,,,,,,,If You Care Parchment Baking Sheets,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,Cooks' Homebaking Muffin Cases,,,,,,,,,,,,,,,,,,,,,,,,
568,,,,,,,,,,Dr.Oetker Gelatine,,,,,,,,,,,,,,,,,,,,,,,,
569,61.5g,246kcal,0.0g,<0.5g,0.0g,0.0g,0.0g,0.13g,,Cooks' Homebaking Cream of Tartar,,,,,,,,,,,,,,,,,,,,,,,,
570,,,,,,,,,,Cooks' Homebaking foil trays,,,,,,,,,,,,,,,,,,,,,,,,
571,,,,,,,,,,Baco easy roast oven bags with tie closures,,,,,,,,,,,,,,,,,,,,,,,,
572,,,,,,,,,,Bacofoil 2 oventray,,,,,,,,,,,,,,,,,,,,,,,,
573,,,,,,,,,,Cooks' Homebaking White Muffin Cases,,,,,,,,,,,,,,,,,,,,,,,,
574,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,68.5g,,Cooks' Ingredients Bicarbonate of Soda,,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,Doves Xanthan Gum Free From Gluten,,,,,,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,Cooks' Homebaking White Fairy Cases,,,,,,,,,,,,,,,,,,,,,,,,
577,88.2g,362kcal,<0.5g,3.4g,0.0g,0.0g,<0.5g,0.0g,,Cooks' Homebaking Arrow Root,,,,,,,,,,,,,,,,,,,,,,,,
578,,,,,,,,,,Doves Farm Baking Powder,,,,,,,,,,,,,,,,,,,,,,,,
579,,,,,,,,,,Cooks' Homebaking Muffin Cases,,,,,,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,Cooks' Homebaking Tulip Wraps,,,,,,,,,,,,,,,,,,,,,,,,
581,6.3g,363kcal,0.2g,,0.1g,0g,84g,1.8g,,Dr.Oetker Free Range Egg White Powder,,,,,,,,,,,,,,,,,,,,,,,,
582,,,,,,,,,,Cooks' Homebaking fancy fairy cases,,,,,,,,,,,,,,,,,,,,,,,,
583,,,,,,,,,,Cooks' Homebaking Cake Board Assorted,,,,,,,,,,,,,Card,Paper & card,Plastic - Other,,,,,,,,,
584,,,,,,,,,,Cooks' Homebaking Cute Cake Cases,,,,,,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,Cooks' Homebaking Non-Slip Piping Bags,,,,,,,,,,,,,,,,,,,,,,,,
586,73.2g,336kcal,<0.5g,7.7g,0.1g,3.0g,6.2g,0.30g,,Cooks' Ingredients Agar Agar,,,,,,,,,,,,,,,,,,,,,,,,
587,8.3g,30kcal,0.1g,2.6g,0.1g,0.1g,0.1g,0.01g,,Free and Easy Egg Replacer,,,,,,,,,,,,,,,,,,,,,,,,
588,99.5g,398kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Cooks' Ingredients Glycerine,,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,Cooks' Homebaking Mini Loaf Cases,,,,,,,,,,,,,,,,,,,,,,,,
590,61.5g,246kcal,0.0g,<0.5g,0.0g,0.0g,0.0g,0.13g,,Cooks' Ingredients Cream of Tartar,,,,,,,,,,,,,,,,,,,,,,,,
591,,,,,,,,,,Bee's Wrap Bread Wrap,,,,,,,,,,,,,,,,,,,,,,,,
592,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Cooks' Ingredients Gold Lustre Spray,,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,Cooks' Homebaking Petits Fours Cases,,,,,,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,Nielsen-Massey Coffee Extract,,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,Clearspring Agar Flakes,,,,,,,,,,,,,,,,,,,,,,,,
596,,,,,,,,,,Bee's Wrap Assorted Wrap,,,,,,,,,,,,,,,,,,,,,,,,
597,71.3g,358kcal,3.9g,2.2g,1.0g,40.1g,8.4g,0.75g,,Cooks' Ingredients Trifle Sponges,,,,,,,,,,,,,,,,,,,,,,,,
598,57g,288kcal,2.1g,2.6g,0.3g,2.4g,9.0g,1.4g,,Napolina 2 Pizza Bases,,,,,,,,,,,,,,,,,,,,,,,,
599,82.7g,399kcal,3.9g,2.1g,0.9g,52.1g,7.2g,0.12g,,Waitrose Cooks Ingredients Sponge Fingers,,,,,,,,,,,,,,,,,,,,,,,,
600,72.0g,374kcal,6.0g,2.5g,1.1g,39.0g,6.8g,0.8g,,Baker Street Sponge Flan Case,,,,,,,,,,,,,,,,,,,,,,,,
601,91.2g,386kcal,<0.5g,0.0g,0.1g,91.2g,4.8g,0.28g,,Cooks' Ingredients Meringue Base,,,,,,,,,,,,,,,,,,,,,,,,
602,65.5g,268kcal,0.1g,1.7g,<0.1g,65.1g,0.5g,0.03g,,Waitrose Duchy Strawberry Preserve Extra Jam,,,,,,,,,,,,,,,,,,,,,,,,
603,14.2g,595kcal,46.0g,7.3g,8.8g,5.3g,27.3g,1.0g,,Whole Earth Crunchy Organic Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
604,13.7g,628kcal,51.2g,4.9g,13.7g,5.2g,25.6g,1.0g,,Whole Earth Smooth Organic Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,Littleover Apiary Pure 'Wildflower' Set Honey,,,,,,,,,,,,,,,,,,,,,,,,
606,,,,,,,,,,Littleover Apiary Wildflower Honey with Royal Jelly,,,,,,,,,,,,,,,,,,,,,,,,
607,66.5g,274kcal,0.5g,0.9g,<0.1g,65.4g,0.3g,<0.01g,,Waitrose Duchy Seville Orange Marmalade Thin Cut,,,,,,,,,,,,,,,,,,,,,,,,
608,12.0g,637kcal,53.3g,6.1g,12.7g,4.5g,24.2g,1.00g,,Waitrose Duchy Smooth & Spreadable Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
609,11.9g,615kcal,49.7g,7.6g,11.2g,4.1g,26.2g,0.83g,,Waitrose Duchy Thick & Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
610,67.8g,277kcal,0.3g,0.7g,<0.1g,65.3g,0.4g,0.03g,,Waitrose Duchy Seville Orange Thick Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
611,65.7g,273kcal,0.4g,2.0g,<0.1g,65.2g,0.7g,<0.01g,,Waitrose Duchy Raspberry Preserve Extra Jam,,,,,,,,,,,,,,,,,,,,,,,,
612,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Organic Honey,,,,,,,,,,,,,,,,,,,,,,,,
613,66.6g,275kcal,0.2g,2.0g,<0.1g,66.2g,0.7g,<0.01g,,Waitrose Duchy Blackcurrant Preserve Extra Jam,,,,,,,,,,,,,,,,,,,,,,,,
614,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Organic Honey,,,,,,,,,,,,,,,,,,,,,,,,
615,12.1g,606kcal,48.1g,8.9g,6.3g,6.2g,31.0g,0.0g,,Whole Earth Crunchy Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,
616,50.5g,385kcal,18.5g,0.1g,11.2g,50.0g,4.1g,0.12g,,Waitrose Duchy Sicilian Lemon Curd,,,,,,,,,,,,,,,,,,,,,,,,
617,59g,241kcal,0.1g,1.1g,0g,59g,0.5g,0g,,Bonne Maman Apricot Conserve,,,,,,,,,,,,,,,,,,,,,,,,
618,59g,241kcal,0.1g,1.2g,0g,59g,0.4g,0g,,Bonne Maman Strawberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
619,57g,239kcal,0.2g,3.4g,0g,57g,0.7g,0g,,Bonne Maman Raspberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
620,59g,243kcal,0.2g,1.0g,0g,59g,0.7g,0g,,Bonne Maman Black Cherry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
621,25g,108Kcal,0.2g,1.4g,0g,25g,0.8g,0g,,Bonne Maman Apricot Compote,,,,,,,,,,,,,,,,,,,,,,,,
622,57g,236kcal,0g,3.1g,0g,57g,0.4g,0g,,Bonne Maman Blackcurrant Conserve,,,,,,,,,,,,,,,,,,,,,,,,
623,59g,241kcal,0.1g,1.5g,0g,59g,0.3g,0g,,Bonne Maman Wild Blueberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
624,59g,241kcal,0.1g,1.3g,0g,59g,0.4g,0g,,Bonne Maman Damson Plum Conserve,,,,,,,,,,,,,,,,,,,,,,,,
625,24g,106Kcal,0.3g,1.7g,0g,24g,1.0g,0g,,Bonne Maman Cherry Compote,,,,,,,,,,,,,,,,,,,,,,,,
626,59g,243kcal,0.2g,1.4g,0g,59g,0.7g,0g,,Bonne Maman Fig Conserve,,,,,,,,,,,,,,,,,,,,,,,,
627,63.5g,258kcal,<0.5g,<0.5g,0.0g,46.9g,<0.5g,0.11g,,Essential Seedless Raspberry Jam,,,,,,,,,,,,,,,,,,,,,,,,
628,62.3g,254kcal,<0.5g,0.8g,0.1g,49.6g,<0.5g,0.10g,,Essential Waitrose strawberry jam,,,,,,,,,,,,,,,,,,,,,,,,
629,59g,241kcal,0.1g,1.2g,0g,59g,0.4g,0g,,Bonne Maman Strawberry & Wild Strawberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
630,58g,239kcal,0.1g,2.0g,0g,58g,0.6g,0g,,Bonne Maman Berries and Cherries Conserve,,,,,,,,,,,,,,,,,,,,,,,,
631,60.4g,258kcal,0.6g,<0.5g,0.5g,42.2g,2.5g,0.10g,,Waitrose Stem Ginger Preserve,,,,,,,,,,,,,,,,,,,,,,,,
632,62.2g,253kcal,<0.5g,0.7g,0.0g,49.2g,<0.5g,0.06g,,Essential Waitrose apricot jam,,,,,,,,,,,,,,,,,,,,,,,,
633,58.3g,239kcal,<0.5g,1.2g,0.1g,49.5g,<0.5g,0.13g,,Waitrose Strawberry Preserve,,,,,,,,,,,,,,,,,,,,,,,,
634,59g,241kcal,0.1g,1.2g,0g,59g,0.3g,0g,,Bonne Maman Rhubarb & Strawberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
635,60.4g,248kcal,<0.5g,0.9g,0.2g,49.9g,<0.5g,0.13g,,Waitrose black cherry conserve,,,,,,,,,,,,,,,,,,,,,,,,
636,52g,",221kcal",<0.8g,1.8g,<0.01g,52g,<0.5g,0.03g,,St. Dalfour Thick Cut Orange Spread,,,,,,,,,,,,,,,,,,,,,,,,
637,66g,270kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons Ltd Tiptree Strawberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
638,56.6g,238kcal,0.6g,1.9g,0.2g,46.8g,0.6g,0.13g,,Waitrose Blackcurrant Preserve,,,,,,,,,,,,,,,,,,,,,,,,
639,60.2g,153kcal,<0.2g,,<0.1g,2.5g,0.3g,0.02g,,Stute Diabetic no added sugar fine cut marmalade,,,,,,,,,,,,,,,,,,,,,,,,
640,61.7g,256kcal,<0.5g,1.8g,0.2g,50.5g,<0.5g,0.13g,,Essential Raspberry Jam,,,,,,,,,,,,,,,,,,,,,,,,
641,52g,",219kcal",<0.8g,1.1g,<0.01g,52g,<0.5g,0.03g,,St. Dalfour Strawberry Spread,,,,,,,,,,,,,,,,,,,,,,,,
642,59g,241kcal,0.1g,1.4g,0g,59g,0.4g,0g,,Bonne Maman Mirabelle Plum Conserve,,,,,,,,,,,,,,,,,,,,,,,,
643,55.9g,234kcal,0.5g,2.3g,0.2g,48.7g,<0.5g,0.13g,,Waitrose Golden Apricot Preserve,,,,,,,,,,,,,,,,,,,,,,,,
644,61.6g,253kcal,<0.5g,0.6g,0.1g,49.1g,0.5g,0.19g,,Essential Waitrose blackcurrant jam,,,,,,,,,,,,,,,,,,,,,,,,
645,66g,268kcal,0g,,0g,66g,0.7g,0.02g,,Wilkin & Sons Ltd Tiptree 'Sweet Tip' Raspberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
646,66g,267kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons blackberry jelly,,,,,,,,,,,,,,,,,,,,,,,,
647,59.8g,248kcal,0.5g,1.5g,0.3g,53.3g,<0.5g,0.13g,,Waitrose Morello Cherry Preserve,,,,,,,,,,,,,,,,,,,,,,,,
648,56g,",237kcal",0.8g,2g,<0.01g,56g,0.5g,0.02g,,St. Dalfour Raspberry Spread,,,,,,,,,,,,,,,,,,,,,,,,
649,24g,104kcal,0.2g,1.7g,0g,24g,0.6g,0g,,Bonne Maman Peach Compote,,,,,,,,,,,,,,,,,,,,,,,,
650,39g,164kcal,0.2g,1.6g,0g,39g,0.8g,0g,,Bonne Maman Apricot Intense Jam,,,,,,,,,,,,,,,,,,,,,,,,
651,52g,",220kcal",<0.8g,1.3g,<0.01g,52g,<0.5g,0.05g,,St. Dalfour Thick Apricot Spread,,,,,,,,,,,,,,,,,,,,,,,,
652,59.0g,154kcal,0.2g,,<0.1g,2.4g,0.4g,0.02g,,Stute Diabetic no added sugar strawberry jam,,,,,,,,,,,,,,,,,,,,,,,,
653,56.0g,227kcal,0g,1.0g,0g,54.0g,0.1g,<0.1g,,SuperJam Blueberry and Blackcurrant Pure Fruit Spread,,,,,,,,,,,,,,,,,,,,,,,,
654,52g,",220kcal",<0.8g,1.5g,<0.01g,52g,<0.5g,0.03g,,St. Dalfour Wild Blueberry Spread,,,,,,,,,,,,,,,,,,,,,,,,
655,57.4g,151kcal,0.1g,,<0.1g,2.1g,0.4g,0.02g,,Stute Diabetic no added sugar blackcurrant jam,,,,,,,,,,,,,,,,,,,,,,,,
656,37g,162kcal,0.2g,4.3g,0g,37g,0.8g,0g,,Bonne Maman Raspberry Intense,,,,,,,,,,,,,,,,,,,,,,,,
657,66g,269kcal,0g,,0g,66g,0g,0.04g,,Wilkin & Sons Ltd Tiptree Victoria Plum Conserve,,,,,,,,,,,,,,,,,,,,,,,,
658,24g,103kcal,"0,1g","2,0g",0g,24g,"0,5g",0g,,Bonne Maman Rhubarb Compote,,,,,,,,,,,,,,,,,,,,,,,,
659,58.2g,241kcal,<0.5g,1.5g,0.1g,53.0g,1.0g,0.10g,,Waitrose Rhubarb & Ginger Preserve,,,,,,,,,,,,,,,,,,,,,,,,
660,39g,162kcal,0.1g,1.6g,0g,39g,0.5g,0g,,Bonne Maman Strawberry Intense,,,,,,,,,,,,,,,,,,,,,,,,
661,25g,108kcal,"0,2g","1,4g",0g,25g,"0,8g",0g,,Bonne Maman Apricot Compote,,,,,,,,,,,,,,,,,,,,,,,,
662,66g,272kcal,0g,,0g,66g,0.6g,0g,,Wilkin & Sons Ltd Tiptree Apricot Conserve,,,,,,,,,,,,,,,,,,,,,,,,
663,55g,228Kcal,0g,,0g,55g,0.6g,0g,,La Vieja Fábrica Peach Conserve,,,,,,,,,,,,,,,,,,,,,,,,
664,65g,266kcal,0g,,0g,65g,0g,0g,,Wilkin & Sons Ltd Tiptree Scarlet Strawberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
665,43g,188kcal,0.3g,3.0g,0g,40g,0.7g,0.03g,,Crosta & Mollica Italian Peach Conserve,,,,,,,,,,,,,,,,,,,,,,,,
666,61.0g,249kcal,<0.5g,1.9g,0.1g,61.0g,<0.5g,0.10g,,Waitrose Gooseberry Preserve,,,,,,,,,,,,,,,,,,,,,,,,
667,61.6g,251kcal,<0.5g,0.8g,0.1g,51.9g,<0.5g,0.13g,,Waitrose Red Plum Preserve,,,,,,,,,,,,,,,,,,,,,,,,
668,50g,",208kcal",<0.3g,1.4g,<0.01g,50g,<0.5g,0.05g,,St. Dalfour Apple & Cinnamon Spread,,,,,,,,,,,,,,,,,,,,,,,,
669,59g,241kcal,0.1g,1.2g,0g,59g,0.4g,0g,,Bonne Maman strawberry conserve,,,,,,,,,,,,,,,,,,,,,,,,
670,58.8g,247kcal,0.6g,2.2g,0.3g,51.1g,0.6g,0.13g,,Waitrose Raspberry Preserve,,,,,,,,,,,,,,,,,,,,,,,,
671,52g,215Kcal,0g,,0g,52g,0.5g,0g,,La Vieja Fábrica Strawberry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
672,43g,188kcal,0.3g,3.0g,0g,40g,0.7g,0.03g,,Crosta & Mollica Italian Fig Conserve,,,,,,,,,,,,,,,,,,,,,,,,
673,26g,115kcal,"0,3g","1,9g",0g,26g,"1,1g","0,02g",,Bonne Maman Cherry Compote,,,,,,,,,,,,,,,,,,,,,,,,
674,33g,135kcal,<0.5g,,<0.1g,26g,<0.5g,<0.01g,,Opies Mango & Passionfruit Compote,,,,,,,,,,,,,,,,,,,,,,,,
675,36.1g,154kcal,<0.1g,,<0.1g,35.7g,<0.1g,<0.1g,,Fearne & Rosie Reduced Sugar Strawberry Jam,,,,,,,,,,,,,,,,,,,,,,,,
676,36g,159kcal,<0.1g,,<0.1g,36g,1g,<0.1g,,Fearne & Rosie Reduced Sugar Raspberry Jam,,,,,,,,,,,,,,,,,,,,,,,,
677,26g,106kcal,1.6g,,0.5g,18g,0.8g,<0.01g,,Opies Summer Berry Compote,,,,,,,,,,,,,,,,,,,,,,,,
678,67.1g,282kcal,0.2g,2.3g,0.0g,67.1g,0.4g,0.11g,,Pimm's Strawberry Tangerine & Mint Preserve,,,,,,,,,,,,,,,,,,,,,,,,
679,66g,270kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons Ltd Tiptree Black Cherry Conserve,,,,,,,,,,,,,,,,,,,,,,,,
680,66g,269kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons Ltd Tiptree Greengage Conserve,,,,,,,,,,,,,,,,,,,,,,,,
681,66g,269kcal,0g,,0g,66g,0g,0g,,Essence apricot & amaretto conserve,,,,,,,,,,,,,,,,,,,,,,,,
682,,,,,,,,,,Essence jam black forest,,,,,,,,,,,,,,,,,,,,,,,,
683,,,,,,,,,,Essence jam blueberry & lavender,,,,,,,,,,,,,,,,,,,,,,,,
684,,,,,,,,,,Essence jam strawberry & elderflower,,,,,,,,,,,,,,,,,,,,,,,,
685,,,,,,,,,,"Essence jam blackberry, plum & ginger",,,,,,,,,,,,,,,,,,,,,,,,
686,65g,263kcal,0g,,0g,65g,0.4g,0g,,La Vieja Fábrica Seville Orange Fine Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
687,59g,240kcal,0.1g,0.7g,0g,59g,0.3g,0g,,Bonne Maman Bitter Orange Fine Shred Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
688,65.6g,266kcal,<0.5g,<0.5g,0.0g,54.1g,<0.5g,0.13g,,Essential Seville Orange Marmalade Fine Cut,,,,,,,,,,,,,,,,,,,,,,,,
689,65g,266kcal,"0,1g",,0g,65g,0.6g,0g,,La Vieja Fábrica Seville St. Clements Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
690,65g,263kcal,0g,,0g,65g,0.4g,0g,,La Vieja Fábrica Seville Orange Thick Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
691,65.8g,267kcal,<0.5g,0.5g,0.0g,56.0g,<0.5g,0.17g,,Essential Seville Orange Marmalade Thick Cut,,,,,,,,,,,,,,,,,,,,,,,,
692,67g,269kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons 'Old Times' Orange Fine Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
693,62.8g,254kcal,Trace,,Trace,53.7g,0.2g,0.20g,,Frank Cooper's Original Oxford Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
694,62.8g,254kcal,Trace,,Trace,56.9g,0.2g,0.10g,,Frank Cooper's Fine Cut Oxford Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
695,65.9g,267kcal,<0.5g,<0.5g,0.0g,57.9g,<0.5g,0.10g,,Essential Orange Marmalade With Ginger,,,,,,,,,,,,,,,,,,,,,,,,
696,69g,284kcal,0g,,0g,65g,0.6g,0g,,Wilkin & Sons 'Tawny' Orange Thick Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
697,66.3g,268kcal,<0.5g,<0.5g,0.0g,57.0g,<0.5g,0.15g,,Essential Seville Orange Marmalade No Peel,,,,,,,,,,,,,,,,,,,,,,,,
698,67g,269kcal,0g,,0g,67g,0g,0g,,Wilkin & Sons Ltd Orange & Tangerine Fine Cut Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
699,55.5g,231kcal,0.2g,,0.0g,53.8g,1.2g,0.3g,,Stokes Red Onion Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
700,65g,261kcal,<0.5g,,<0.1g,53g,<0.5g,0.24g,,Rose's Lemon & Lime Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
701,67g,266kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons No Peel Orange Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
702,66g,276kcal,0g,,0g,66g,0g,0g,,Wilkin & Sons Ltd Tiptree Orange Malt Whisky Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
703,67.9g,272kcal,Trace,,Trace,66.2g,0.2g,Trace,,Robertson's Ma Made Thin Cut Seville Oranges,,,,,,,,,,,,,,,,,,,,,,,,
704,66g,270kcal,0g,,0g,65g,0g,0g,,Wilkin & Sons Ltd Tiptree Orange with Ginger Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
705,66g,270kcal,0g,,0g,65g,0g,0g,,Essence marmalade seville & cranberry,,,,,,,,,,,,,,,,,,,,,,,,
706,66g,270kcal,0g,,0g,65g,0g,0g,,Essence marmalade seville & plum,,,,,,,,,,,,,,,,,,,,,,,,
707,66g,270kcal,0g,,0g,65g,0g,0g,,Essence seville & lavender marmalade,,,,,,,,,,,,,,,,,,,,,,,,
708,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Runny Honey,,,,,,,,,,,,,,,,,,,,,,,,
709,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Duchy Pure Set Honey,,,,,,,,,,,,,,,,,,,,,,,,
710,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Essential Pure Clear Honey,,,,,,,,,,,,,,,,,,,,,,,,
711,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Essential Squeezy Honey,,,,,,,,,,,,,,,,,,,,,,,,
712,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Light & Mild Honey,,,,,,,,,,,,,,,,,,,,,,,,
713,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Essential Pure Set Honey,,,,,,,,,,,,,,,,,,,,,,,,
714,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Dark & Rich Honey,,,,,,,,,,,,,,,,,,,,,,,,
715,86.9g,348kcal,0.1g,,<0.1g,85.9g,<0.1g,<0.1g,,Rowse Manuka Honey 250+ MGO,,,,,,,,,,,,,,,,,,,,,,,,
716,,,,,,,,,,Littleover Apiary pure English honey,,,,,,,,,,,,,,,,,,,,,,,,
717,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Runny Honey,,,,,,,,,,,,,,,,,,,,,,,,
718,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Runny Honey,,,,,,,,,,,,,,,,,,,,,,,,
719,80.0g,327kcal,,,,78.0g,,,,Steens Raw Manuka Honey UMF10+,,,,,,,,,,,,,,,,,,,,,,,,
720,84.2,340kcal,0.2,,Trace,84.2,0.3,,,Littleover Apiary Pure English Set Honey,,,,,,,,,,,,,,,,0,,,,,,,,
721,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Duchy Pure Clear Honey,,,,,,,,,,,,,,,,,,,,,,,,
722,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Acacia Honey,,,,,,,,,,,,,,,,,,,,,,,,
723,86.9g,348kcal,0.1g,,<0.1g,85.9g,<0.1g,<0.1g,,Rowse Manuka Honey 500+ MGO,,,,,,,,,,,,,,,,,,,,,,,,
724,76.4g,307kcal,0g,0g,0g,76.4g,0.4g,0.03g,,Waitrose Orange Blossom Honey,,,,,,,,,,,,,,,,,,,,,,,,
725,86.9g,348kcal,0.1g,,<0.1g,85.9g,<0.1g,<0.1g,,Rowse Supahoney,,,,,,,80mg,,,,,,,,,,,,,,,,,
726,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Acacia Honey,,,,,,,,,,,,,,,,,,,,,,,,
727,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose Scottish Heather Honey,,,,,,,,,,,,,,,,,,,,,,,,
728,8.0g,32.7kcal,<0.1g,,<0.1g,7.8g,<0.1g,<0.1g,,Steens Manuka Honey Blend UMF5+,,,,,,,,,,,,,,,,,,,,,,,,
729,86.9g,348kcal,0.1g,,<0.1g,85.9g,<0.1g,<0.1g,,Rowse Manuka Honey 100+ MGO,,,,,,,,,,,,,,,,,,,,,,,,
730,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Greek Honey,,,,,,,,,,,,,,,,,,,,,,,,
731,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,Waitrose English Honey,,,,,,,,,,,,,,,,,,,,,,,,
732,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Spreadable Honey,,,,,,,,,,,,,,,,,,,,,,,,
733,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Runny Honey,,,,,,,,,,,,,,,,,,,,,,,,
734,79.0g,320kcal,,,,79.0g,,,,Wainwright's Organic Zambian Forest Honey,,,,,,,,,,,,,,,,,,,,,,,,
735,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse British Honey,,,,,,,,,,,,,,,,,,,,,,,,
736,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,No.1 New Zealand Clover Honey,,,,,,,,,,,,,,,,,,,,,,,,
737,76.4g,307kcal,0.0g,0.0g,0.0g,76.4g,<0.5g,0.03g,,No.1 Mexican Yucatan Honey,,,,,,,,,,,,,,,,,,,,,,,,
738,81.5g,329kcal,<0.5g,<0.5g,0.2g,80.8g,<0.5g,0.03g,,Rowse Organic Acacia Honey,,,,,,,,,,,,,,,,,,,,,,,,
